"id"	"label"	"degree"	"community"	"group"	"gene_type"	"description"
"AT5G25190"	"ESE3"	8	13	13	"Regulator"	"encodes a member of the ERF (ethylene response factor) subfamily B-6 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 12 members in this subfamily including RAP2.11."
"AT1G72450"	"JAZ6"	7	10	10	"Regulator"	"JAZ6 transcript levels rise in response to a jasmonate stimulus and a GFP:JAZ6 fusion protein localizes to the nucleus.  Application of jasmonate methyl ester to Arabidopsis roots reduces the levels of a JAZ6:GUS fusion protein, presumably by stimulating ubiquitin-proteasome-mediated degradation."
"AT5G65410"	"HB25"	2	22	22	"Regulator"	"Encodes ZFHD2, a member of the zinc finger homeodomain transcriptional factor family.Gain of function of ATHB25 (35S and UBQ10 proomoters) and double loss of function of ATHB25 and ATHB22 increases and decreases, respectively, seed longevity. This phenotype is maternal and related to seed coat alterations. Gain of function increases expression of GA3OX2 and GA4 and GA1 levels."
"AT1G21910"	"DREB26"	5	2	2	"Regulator"	"encodes a member of the DREB subfamily A-5 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 15 members in this subfamily including RAP2.1, RAP2.9 and RAP2.10."
"AT2G45680"	"TCP9"	7	7	7	"Regulator"	"TCP family transcription factor"
"AT3G56660"	"BZIP49"	2	23	23	"Regulator"	"basic region/leucine zipper motif protein 49"
"AT1G68190"	"BBX27"	15	12	12	"Regulator"	"B-box zinc finger family protein"
"AT2G34620"	"MTERF10"	14	6	6	"Regulator"	"Mitochondrial transcription termination factor family member."
"AT2G46680"	"HB-7"	3	16	16	"Regulator"	"encodes a putative transcription factor that contains a homeodomain closely linked to a leucine zipper motif. Transcript is detected in all tissues examined.  Is transcriptionally regulated in an ABA-dependent manner and may act in a signal transduction pathway which mediates a drought response."
"AT1G14440"	"HB31"	1	22	22	"Regulator"	"homeobox protein 31"
"AT4G36240"	"GATA7"	5	9	9	"Regulator"	"Encodes a member of the GATA factor family of zinc finger transcription factors."
"AT3G25790"	"HHO1"	11	6	6	"Regulator"	"Encodes a nuclear localized member of the GARP family of transcription factors. Along with AtNIGT1/HRS1 it is involved in nitrate and phosphate signaling in the root."
"AT2G30250"	"WRKY25"	5	16	16	"Regulator"	"member of WRKY Transcription Factor"
"AT5G67190"	"DEAR2"	10	7	7	"Regulator"	"encodes a member of the DREB subfamily A-5 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 16 members in this subfamily including RAP2.1, RAP2.9 and RAP2.10."
"AT2G39250"	"SNZ"	6	15	15	"Regulator"	"Encodes a AP2 domain transcription factor that can repress flowering. SNZ and its paralogous gene, SCHLAFMUTZE (SMZ),  share a signature with partial complementarity to the miR172 microRNA, whose precursor is induced upon flowering."
"AT4G01250"	"WRKY22"	18	2	2	"Regulator"	"AtWRKY22 is a member of WRKY Transcription Factor"
"AT3G60530"	"GATA4"	15	12	12	"Regulator"	"Encodes a member of the GATA factor family of zinc finger transcription factors."
"AT5G47220"	"ERF2"	5	10	10	"Regulator"	"Encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family (ATERF-2). The protein contains one AP2 domain. Functions as activator of GCC box?dependent transcription. Positive regulator of JA-responsive defense genes and resistance to  F. oxysporum and enhances JA inhibition of root elongation."
"AT3G50750"	"BEH1"	2	14	14	"Regulator"	"BES1/BZR1 homolog 1"
"AT1G74930"	"ORA47"	18	13	13	"Regulator"	"encodes a member of the DREB subfamily A-5 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 15 members in this subfamily including RAP2.1, RAP2.9 and RAP2.10. The mRNA is cell-to-cell mobile."
"AT2G23290"	"MYB70"	22	11	11	"Regulator"	"Member of the R2R3 factor gene family."
"AT1G69490"	"NAP"	3	24	24	"Regulator"	"Encodes a member of the NAC transcription factor gene family.  It is expressed in floral primordia and upregulated by AP3 and PI.  Its expression is associated with leaf senescence. The mRNA is cell-to-cell mobile."
"AT5G20240"	"PI"	1	25	25	"Regulator"	"Floral homeotic gene encoding a MADS domain transcription factor. Required for the specification of petal and stamen identities."
"AT4G17785"	"MYB39"	3	14	14	"Regulator"	"Encodes a putative transcription factor (MYB39) involved in the regulation of suberin biosynthetic genes."
"AT4G39070"	"BZS1"	4	26	26	"Regulator"	"Encodes BZS1, a brassinosteroids-regulated BZR1 target (BRBT) gene. BZS1 is a putative zinc finger transcription factor. Expression of BZS1 was increased under BR-deficient condition and repressed by BR. Transgenic Arabidopsis plants overexpressing BZS1 showed a hypersensitivity to the BR biosynthetic inhibitor brassinazole (BRZ). In contrast, transgenic plants expressing reduced level of BZS1 had longer hypocotyls than wild type when grown on BRZ."
"AT1G74430"	"MYB95"	2	1	1	"Regulator"	"Encodes a putative transcription factor (MYB95). The mRNA is cell-to-cell mobile."
"AT4G31800"	"WRKY18"	6	10	10	"Regulator"	"Pathogen-induced transcription factor. Binds W-box sequences  in vitro. Forms protein complexes with itself and with WRKY40 and WRKY60. Constitutive expression of WRKY18  enhanced resistance to P. syringae, but its coexpression with WRKY40 or WRKY60 made plants more susceptible to both  P. syringae and B. cinerea. WRKY18, WRKY40, and WRKY60 have partially redundant roles in response to the hemibiotrophic bacterial pathogen Pseudomonas syringae and the necrotrophic fungal pathogen Botrytis cinerea, with WRKY18 playing a more important role than the other two. The mRNA is cell-to-cell mobile."
